Name,State,Lat,Lon,json
Adelaide Airport,South Australia,-34.9524,138.5204,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94672.json
Albany Airport,Western Australia,-34.9411,117.8158,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94802.json
Alva Beach,Queensland,-19.4569,147.4833,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95296.json
Andamooka,South Australia,-30.449,137.1692,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95660.json
Applethorpe,New South Wales,-28.6217,151.9533,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94553.json
Arkaroola,South Australia,-30.311,139.3357,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94676.json
Barrow Island,Western Australia,-20.8206,115.3931,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95304.json
Bedout Island,Western Australia,-19.5886,119.0997,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94310.json
Bidyadanga,Western Australia,-18.6844,121.7803,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94202.json
Bombala AWS,New South Wales,-37.0016,149.2336,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94929.json
Borroloola,Northern Territory,-16.0667,136.3,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94152.json
Borroloola,Northern Territory,-16.0757,136.3041,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94152.json
Bougainville Reef,Queensland,-15.4877,147.1183,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95288.json
Brunette Downs,Northern Territory,-18.637,135.945,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94242.json
Bulga Downs,Western Australia,-28.4967,119.7436,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94444.json
Bulman,Northern Territory,-13.6667,134.3333,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94143.json
Bunbury,Western Australia,-33.3567,115.6447,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94604.json
Burrinjuck Dam,New South Wales,-34.9997,148.5984,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94909.json
Butlers Gorge,Tasmania,-42.2753,146.2758,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94959.json
Cape Borda,South Australia,-35.7549,136.5959,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95805.json
Cape Don,Northern Territory,-11.3167,131.7667,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94129.json
Cape Don,Northern Territory,-11.3081,131.7651,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94129.json
Cape Sorell,Tasmania,-42.1986,145.17,http://www.bom.gov.au/fwo/IDT60801/IDT60801.94974.json
Cape Willoughby,South Australia,-35.8426,138.1327,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94822.json
Carnegie,Western Australia,-25.7964,122.9753,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94451.json
Central Arnhem Plateau,Northern Territory,-13.3275,133.0861,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94141.json
Cleve,South Australia,-33.7011,136.4937,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94661.json
Coconut Island,Queensland,-10.0511,143.0686,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94182.json
Collie East,Western Australia,-33.3608,116.1717,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95621.json
Coober Pedy Airport,South Australia,-29.0347,134.7222,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95458.json
Coolangatta,New South Wales,-28.1681,153.5053,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94592.json
Coonawarra,South Australia,-37.3,140.8333,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94817.json
